text,sentence_index,n_gram_id,tag
"בפרק בתרא דנזיר (דף ס""א ע""ב) אמרינן",20,1318,-1
לאהל המת או הבא מקצתו,6,268,-1
"בפרק כ''ג ונזיר (דף נ""ו ע""ב) במשנה",1,132,-1
בהמה מבואר בריש פרק ח',21,1366,-1
טומאות אלא במת,2,151,-1
למה הצריך שיצרף ידו,10,366,-1
משא בפרק כ''ג ונזיר,1,74,-1
כל סביביו הילכך הנוגע באסקופה,12,598,-1
א''א מצאתי בתוספתא,14,830,-1
כהן הוא מר מ''ט,19,1035,-1
הוא וכן מפורש,20,1224,-1
או אפשר דנגיעה היינו צירף,10,433,-1
"יבמתו (דף ס""א) מסקנא",17,927,-1
ואיתיה בת''כ: נגע במשקוף,7,294,-1
המת מישראל או מן העכו''ם מטמא,16,908,-1
רבינו שם דטעמא משום דכשטומאה,12,587,-1
למה הצריך שיצרף,10,324,-1
בתוספתא דאהלות וכו',14,832,-1
מישראל או מן העכו''ם מטמא,16,902,-1
ידו ואפשר שכאן חזר בו ור''ש,13,778,-1
"פ''ק דכלים (מ""ד) חמור מכולם",3,199,-1
דתניא רשב''י אומר קברי עכו''ם,19,1095,-1
משנה אחד המת מישראל או מן העכו''ם,16,912,-1
עליה פסק כמותו משום דמשמע שם דרבינא,19,1156,-1
תוספתא זו מפני,15,837,-1
וכאילו יהיב טעמא למה,10,400,-1
"בפ' ג' מינים (דף מ""ג)",7,296,-1
ובמשא ובאהל טומאת שבעה וטומאת מגע,0,38,-1
מטפח ולמעלה משום דדרך,13,718,-1
הראב''ד נגע באסקופה מטפח ולמטה,13,761,-1
רבינו וטומאת משא בפרק כ''ג ונזיר (דף,1,129,-1
ור''ש כתב רבי,13,675,-1
לצירוף יד ואפשר,10,336,-1
צורך לצירוף יד ואפשר,10,377,-1
"בתרא דנזיר (דף ס""א ע""ב) אמרינן",20,1290,-1
"(דף ס""א) מסקנא דרבינא אפילו לרשב''י:",17,941,-1
שהוא מטמא באהל מה,3,194,-1
ולמעלה טמא כנוגע בכותל מכותלי הבית,12,630,-1
סבר כוותיה ועוד,19,973,-1
דנגיעה היינו צירף ידו שכתב רבינו וכאילו,10,514,-1
כמותו משום דמשמע,19,968,-1
באסקופה מטפח ולמעלה,12,547,-1
ואפשר שכאן חזר בו ור''ש כתב רבי,13,813,-1
באסקופה מטפח ולמעלה,13,680,-1
הצריך שיצרף ידו שמלשון המשנה משמע,10,448,-1
"המקבל (דף קי""ד ע""ב)",19,1026,-1
אהל אינה בשאר,2,148,-1
טמא ואין צורך לצירוף יד ואפשר דמשמע,10,495,-1
"(מ""ד) חמור מכולם המת שהוא",3,201,-1
משנה פי''ב דאהלות נגע,8,315,-1
וטומאת מגע ואהל מפורשים בתורה,0,32,-1
רבי יהושע מטמא באסקופה מטפח,13,750,-1
"משנה פ''ק דכלים (מ""ד) חמור",3,198,-1
שכאן חזר בו ור''ש כתב רבי,13,780,-1
רשב''י אומר קברי,19,999,-1
