text,tag
במשנה וכר' יהושע ונראה מדברי,0
"(דף ס""ט) ושנינו",-1
אצל צירף ידו,-1
תוספתא זו מפני,-1
יהושע ונראה מדברי רבינו שם דטעמא משום,-1
בשמו בסמוך לחד,-1
וזה הפך ממ''ש בשמו בסמוך,-1
מצאתי בתוספתא דאהלות וכו',-1
צירף ידו או אפשר דנגיעה היינו,-1
ומטמא כל סביביו הילכך הנוגע,-1
"ונזיר (דף נ""ו ע""ב) במשנה ובפרק",0
ג' מינים (דף,-1
מטפח ולמעלה טמא,-1
משנה טומאת אהל אינה בשאר טומאות,0
המת מטמא במגע ובמשא ובאהל טומאת,-1
הוי הבית כקבר סתום ומטמא,-1
שיצרף ידו שמלשון,-1
יהושע מטמא באסקופה מטפח ולמעלה משום,-1
ולמטה טהור כנוגע בקרקע עולם,-1
הבא כלו לאהל המת או הבא,-1
דמשמע לרבינו דלישנא,-1
מטמא באהל מה שאין כולם מטמאין,-1
לאו דוקא ואינו טמא אא''כ,-1
בשמו בסמוך לחד לישנא,-1
"ס""ט) ושנינו בפ''ב דאהלות דאפי' עצם",-1
טהור מטפח ולמעלה,-1
המת או הבא,-1
דנגיעה היינו צירף,-1
לרבינו דלישנא דנגיעה לאו דוקא,-1
"בפרק כ''ג ונזיר (דף נ""ו",-1
ולמעלה משום דדרך הטומאה,-1
דוקא ואינו טמא אא''כ צירף ידו או,-1
דנגיעה לאו דוקא ואינו טמא אא''כ,-1
לאו דוקא ואינו טמא אא''כ צירף ידו,-1
כסף משנה טומאת אהל אינה,0
וכאילו יהיב טעמא למה אם,-1
כנוגע בקרקע עולם וזה הפך ממ''ש,-1
משנה המת מטמא במגע ובמשא,0
באסקופה מטפח ולמעלה משום דדרך הטומאה,-1
באסקופה מטפח ולמעלה טמא,-1
דכשטומאה בבית הוי הבית כקבר סתום,-1
כסף משנה המת מטמא במגע,0
עצם כשעורה מטמא במשא:,-1
משנה טומאת אהל אינה בשאר,0
טעם למה מטפח ולמטה טהור מטפח ולמעלה,-1
ומטמא כל סביביו הילכך הנוגע באסקופה,-1
בפ''ב דאהלות דאפי' עצם כשעורה,-1
מטפח ולמטה טהור כנוגע בקרקע עולם וזה,-1
ידו שכתב רבינו וכאילו יהיב,-1
מטמא באסקופה מטפח ולמעלה משום דדרך הטומאה,-1
הטומאה לצאת: כתב הראב''ד נגע באסקופה,-1
ור''ש כתב רבי,-1
לאהל המת או הבא מקצתו וכו',-1
יהושע ונראה מדברי רבינו שם,-1
כתב הראב''ד נגע באסקופה מטפח ולמטה,-1
כסף משנה טומאת,0
מטמא במגע ובמשא ובאהל טומאת שבעה וטומאת,-1
ובאהל טומאת שבעה,-1
בת''כ: נגע במשקוף וכו',-1
כמ''ש רבינו וטומאת,-1
דטעמא משום דכשטומאה בבית הוי הבית כקבר,-1
בקרקע עולם וזה הפך ממ''ש בשמו,-1
ומ''ש ובין שהאהיל האדם או,-1
למה אם נגע טמא וצ''ע,-1
צירף ידו ואפשר שכאן חזר בו ור''ש,-1
דבנגיעה בעלמא טמא ואין,-1
ידו ואפשר שכאן חזר בו ור''ש,-1
מטפח ולמטה טהור,-1
נגע באסקופה מטפח,-1
בשאר טומאות אלא במת,-1
צירף ידו או אפשר,-1
אא''כ צירף ידו,-1
הטומאה לצאת: כתב הראב''ד נגע,-1
מה שאין כולם,-1
כתב תוספתא זו מפני שנותנת טעם,-1
לאהל המת או הבא,-1
כקבר סתום ומטמא כל סביביו,-1
היינו צירף ידו,-1
"ג' מינים (דף מ""ג) ואיתיה בת''כ:",-1
יד ואפשר דמשמע לרבינו דלישנא,-1
דמשמע לרבינו דלישנא דנגיעה לאו,-1
יודע למה הצריך,-1
משמע דבנגיעה בעלמא טמא ואין צורך,-1
יודע למה הצריך שיצרף,-1
הוי הבית כקבר סתום,-1
המת או הבא מקצתו וכו',-1
פ''ג דאהלות (משנה א'):,0
צירף ידו או אפשר דנגיעה היינו צירף,-1
שיצרף ידו שמלשון המשנה משמע דבנגיעה,0
באסקופה מטפח ולמעלה,-1
משנה טומאת אהל,0
באסקופה מטפח ולמעלה טמא כנוגע בכותל מכותלי,-1
כלו לאהל המת,-1
במגע ובמשא ובאהל טומאת שבעה וטומאת מגע,-1
דכשטומאה בבית הוי הבית כקבר סתום ומטמא,-1
כסף משנה אחד הבא,0
"פ''ק דכלים (מ""ד)",1
טומאת אהל אינה בשאר טומאות אלא במת,-1
הטומאה לצאת: כתב,-1
באסקופה מטפח ולמעלה משום,-1
יהיב טעמא למה אם,-1
כמ''ש רבינו וטומאת משא בפרק כ''ג,-1
הבית כקבר סתום ומטמא כל סביביו,-1
ואין צורך לצירוף יד ואפשר דמשמע לרבינו,-1
המשנה משמע דבנגיעה,0
טעמא למה אם,-1
צורך לצירוף יד,-1
משום דדרך הטומאה,-1
דטעמא משום דכשטומאה בבית,-1
כנוגע בקרקע עולם וזה,-1
ובמשא ובאהל טומאת שבעה,-1
ולמעלה משום דדרך,-1
טהור כנוגע בקרקע עולם וזה,-1
"(דף מ""ג) ואיתיה בת''כ:",-1
בריש פ''ג דאהלות (משנה,0
היינו צירף ידו שכתב רבינו,-1
אחד הבא כלו לאהל,-1
ידו שמלשון המשנה משמע דבנגיעה בעלמא טמא,0
מטמא במגע ובמשא ובאהל טומאת,-1
ואפשר שכאן חזר בו ור''ש כתב רבי,-1
כתב רבי יהושע,-1
האדם או הכלי וכו',-1
מדברי רבינו שם דטעמא משום דכשטומאה,-1
הצריך שיצרף ידו שמלשון המשנה משמע,0
וכר' יהושע ונראה מדברי רבינו,-1
ואין צורך לצירוף יד ואפשר,-1
