text,tag
קמא דמעשר שני (משנה שם) תנן הותזו ראשיהם,0
"עלה בסוף פירקא קמא דתענית (דף כ""ח)",1
כסף משנה טומאת משא מפי,0
"עלה בסוף פירקא קמא דהוריות (דף כ""ח)",1
דבפירקא קמא דנדרים (משנה שם) תנן,0
כסף משנה אחד המת מישראל,0
כסף משנה אחד הבא כלו,0
"נ""ו ע""ב) במשנה ובפרק תינוקת",0
דאהלות (משנה שם) תנן הותזו,0
פ''ט דמקואות (משנה ד'): וכתב,0
שמלשון המשנה משמע דבנגיעה,0
דבפירקא קמא דאהלות (משנה שם) תנן הותזו,0
דאהלות (משנה א'):,0
"ע""ב) במשנה ובפרק",0
משנה פרק קמא דעדויות (משנה,0
המשנה משמע דבנגיעה בעלמא טמא ואין,0
משנה פי''ב דביכורים נגע במשקוף,0
כסף משנה אחד המת,0
"(דף נ""ו ע""ב) במשנה ובפרק שלשים ושש",0
"ותמיד (דף נ""ו ע""ב) במשנה",0
כסף משנה מ''ש ואפילו,0
"פ''ק דטהרות (דף כ""ה)",1
הצריך שיצרף ידו שמלשון המשנה משמע דבנגיעה,0
"פ''ק דמכשירין (מ""ד)",1
"במשנה ובפרק אלו טרפות (דף ס""ט) ושנינו",0
משנה פ''ט דמקואות,0
"במשנה ובפרק הבית והעליה (דף ס""ט) ושנינו",0
משנה פרק קמא,0
"במשנה ובפרק תינוקת (דף ס""ט)",1
קשה דבפירקא קמא דסנלולב הגזולין (משנה,0
שם במשנה וכר',0
דעדיות (משנה שם) תנן הותזו ראשיהם,0
"ע""ב) במשנה ובפרק שום היתומים (דף",0
משנה ומדברי סופרים,0
בפרק במה טומנין (דף כ'),1
ידו שמלשון המשנה משמע דבנגיעה בעלמא טמא,0
דכלים (משנה א'):,0
משנה קרום שעל המכה וכו' וכשות,0
משנה פי''ב דמועד קטן,0
דאהלות (משנה שם) תנן הותזו ראשיהם אף,0
משנה המת מטמא במגע ובמשא ובאהל,0
"משא בפרק כ''ג וקדושין (דף נ""ו ע""ב)",1
קמא דשביעית (משנה,0
"ויבמות (דף נ""ו ע""ב) במשנה ובפרק",0
(דף ג') ובפרק שואל (דף,0
דאהלות (משנה שם) תנן,0
המשנה משמע דבנגיעה בעלמא טמא,0
קשה דבפירקא קמא דאהלות (משנה,0
משנה וגמרא בפרק קמא דעירובין,0
במשנה ובפרק מי שהיה נשוי,0
"פרק חלון (דף מ""ב ע""ב)",1
"פ''ק דנדרים (מ""ד)",1
כסף משנה קרום שעל המכה,0
ידו שמלשון המשנה משמע,0
משנה טומאת אהל,0
"משנה פ''ק דידים (מ""ד) חמור מכולם",0
"ע""ב) במשנה ובפרק האשה שלום",0
דאהלות (משנה שם) תנן הותזו ראשיהם,0
כסף משנה אחד המת מישראל או,0
דמכות (משנה שם) תנן,0
"בסוף פרק קמא מנחות (דף כ': כ""א<prd>):",1
משנה אחד הבא כלו לאהל,0
(משנה שם) תנן הותזו ראשיהם,0
בריש פ''ג דידים (משנה א'):,0
דמקואות (משנה ד'): וכתב,0
בפרק לא יחפור (דף כ'),1
משנה פ''ט דמקואות (משנה ד'): וכתב,0
"(דף נ""ו ע""ב) במשנה",0
פ''ג דאהלות (משנה,0
"במשנה ובפרק תינוקת (דף ס""ט) ושנינו",0
המשנה משמע דבנגיעה בעלמא טמא ואין צורך,0
המשנה משמע דבנגיעה,0
שם במשנה וכר' יהושע,0
"(דף נ""ו ע""ב) במשנה ובפרק שילוח הקן",0
"נ""ו ע""ב) במשנה ובפרק בית שמאי",0
במשנה וכר' יהושע ונראה,0
"(דף ג') ובפרק יוצא דופן (דף מ""ג",0
(משנה שם) תנן,0
"ופסחים (דף נ""ו ע""ב) במשנה",0
דבפירקא קמא דאהלות (משנה,0
משנה קרום שעל המכה,0
"ונגעים (דף נ""ו ע""ב) במשנה ובפרק כיצד צולין",0
"ע""ב) במשנה ובפרק תינוקת (דף",0
כסף משנה טומאת משא,0
"נ""ו ע""ב) במשנה ובפרק אלו דברים",0
"פרק הזרוע והלחיים (דף מ""ב ע""ב)",1
"עלה בסוף פירקא קמא דחולין (דף כ""ח)",1
המשנה משמע דבנגיעה בעלמא,0
"וחגיגה (דף נ""ו ע""ב) במשנה",0
כסף משנה קרום שעל המכה וכו',0
דזבחים (משנה שם) תנן הותזו,0
משנה טומאת משא,0
דבפירקא קמא דאהלות (משנה שם) תנן,0
"משנה פ''ק דפסחים (מ""ד) חמור מכולם המת",0
משנה פי''ב דחולין נגע,0
קמא דתמיד (משנה שם) תנן הותזו ראשיהם,0
"בפרק יום טוב (דף ס""א)",1
"משנה פ''ק דהוריות (מ""ד) חמור",0
"ונדה (דף נ""ו ע""ב) במשנה ובפרק",0
משנה פי''ב דפרה,0
פרק קמא דיבמות (משנה,0
"ודמאי (דף נ""ו ע""ב) במשנה ובפרק מומין אלו",0
מן החי ובפרק ב' דקידושין (דף ל'),1
כסף משנה ומדברי סופרים שיהיו העכו''ם,0
"בפרק האומר משקלי עלי (דף ס""א)",1
"ומנחות (דף נ""ו ע""ב) במשנה ובפרק",0
מן החי ובפרק ב' דדשבת (דף ל'),1
"ע""ב) במשנה ובפרק הזורק (דף ס""ט) ושנינו",0
משנה טומאת משא מפי השמועה וק''ו הדברים,0
דמעילה (משנה שם) תנן הותזו ראשיהם אף,0
(משנה ד'): וכתב הראב''ד א''א אמת שכך,0
משנה אחד המת מישראל או מן,0
דבפירקא קמא דמעשרות (משנה,0
"כוותיה ועוד דבס''פ מבוי שהוא גבוה (דף קי""ד ע""ב)",1
"(דף נ""ו ע""ב) במשנה ובפרק תינוקת",0
כסף משנה אחד המת מישראל או מן,0
משנה המת אינו מטמא,0
כסף משנה המת אינו מטמא עד שתצא,0
דערכין (דף ג') ובפרק קדשי מזבח (דף,0
"בפרק מי שאחזו (דף ע' ע""ב)",1
פרק קמא דמקוואות (משנה,0
לו טומאה ובפרק השוכר את הפועל (דף כ'),1
משנה פ''ק דכלים,0
"במשנה ובפרק שבעת ימים (דף ס""ט) ושנינו בפ''ב",0
"נ""ו ע""ב) במשנה ובפרק שבועת הדיינין",0
פ''ט דמקואות (משנה ד'): וכתב הראב''ד,0
כסף משנה קרום שעל המכה וכו' וכשות,0
ג''ז שם במשנה וכר',0
"במשנה ובפרק כל כינויי נזירות (דף ס""ט)",1
"פ''ק דכלים (מ""ד)",1
שם במשנה וכר' יהושע ונראה מדברי רבינו,0
"(דף נ""ו ע""ב) במשנה ובפרק במה בהמה",0
"פרק בנות כותיים (דף ל""ד):",1
"פ''ק דנזיר (דף כ""ה)",1
"במשנה ובפרק במה בהמה (דף ס""ט) ושנינו בפ''ב",0
שיצרף ידו שמלשון המשנה,0
דאבות (משנה שם) תנן הותזו,0
כסף משנה אחד הבא כלו לאהל המת,0
שם במשנה וכר' יהושע ונראה,0
"משנה פ''ק דסנהדרין (מ""ד) חמור מכולם",0
דנדה (דף ג') ובפרק חומר בקודש (דף,0
"בפרק בתרא דדבבא בתרא (דף ס""א ע""ב)",1
במשנה ובפרק אותו ואת בנו (דף,0
דכלאים (משנה שם) תנן,0
דבפירקא קמא דמנחות (משנה,0
משנה פי''ב דסוכה נגע במשקוף טמא,0
משנה ומדברי סופרים שיהיו,0
משנה וגמרא בפרק קמא דערכין,0
דמקואות (משנה ד'): וכתב הראב''ד א''א,0
"פ''ק בכורות (דף כ""ה)",1
דשקלים (משנה שם) תנן הותזו ראשיהם,0
כסף משנה טומאת,0
"בפרק בתרא דנזיר (דף ס""א ע""ב)",1
"משנה פ''ק דמדות (מ""ד) חמור מכולם המת",0
משנה וגמרא בפרק,0
דבפירקא קמא דאהלות (משנה שם) תנן הותזו,0
"הדין וכך אמרו בפרק אלו הן הנחנקין (דף ע""ו)",1
"נ""ו ע""ב) במשנה ובפרק הנודר מן המבושל (דף",0
בריש פ''ג דאהלות (משנה א'):,0
בריש פ''ג דבכורות (משנה,0
"ע""ב) במשנה ובפרק האשה שהיא עושה",0
דטבול יום (משנה שם) תנן הותזו,0
כסף משנה טומאת משא מפי השמועה וק''ו,0
משנה ומדברי סופרים שיהיו העכו''ם וכו',0
