text,tag
אלעזר בר''ש ומשמע,-1
או מסמר ינעול בו הפתח הוא,-1
דנהי דבמגע לא,-1
לפחותה או אפוצה אלא לענין לחוץ,-1
נתון על פי שני תנורים טומאה ביניהם,-1
כל הראש לגמרי וכפשטא דלישנא דברייתא דקתני,-1
בה גובה טפח ואין בה רוחב,-1
הכי הבית טמא שהרי,-1
לטמא במדור ולטהר בעיר,-1
שטעמו משום דקשיא ליה מ''ש מפני שהוא,-1
מטמא במגע ובמשא ואינו,-1
כתב שטעם שהבית טהור לפי,-1
וכו' בד''א בחלון שעשה,-1
זה בצד זה,-1
יהודה במה דברים אמורים אינו אלא לפרש:,-1
לכלים כי כאשר היה זה,-1
וכך היתה נוסחת הראב''ד בדברי,-1
אין לה דין,-1
לרבינו שהעמידה בכוורת,-1
והדין משנה שם,-1
שכתב חסר הבשר ולא חסר,-1
מה שאינו כנגד הזית,-1
ז''ל ויש לגמגם,-1
שהיא גבוהה מהארץ טפח,-1
בשיפוע מאחריו טמא טומאת ערב נעשה השיפוע,-1
שנפחתה ונתבטלה מתורת כלי,-1
תורה אבל המעמיד כלים וכו',-1
כל סביביו הילכך הנוגע באסקופה מטפח,-1
"בסוף אהלות (פי""ח מ""ב):",-1
או קטן בן ט' שנים ויום,-1
היודעת טעם ביאה,-1
וגמרא בפרק קמא דערכין (דף ג'),-1
זה עד שהוא,-1
פותח טפח הכל טמא וכנגד פיה,-1
דתנור חדש כל זמן שלא הוסק,-1
אמרת כן ענשת,-1
על צדה ואין בין פיה לכותל,-1
בהדיא שסובר דאפי' כלי,-1
הכל ושם אין תחתיה ועל גבה,-1
"(פי""ח מ""ב): וכן",-1
אינו אלא כאצבע ולישנא דמתניתין דייקא דקתני,-1
הטומאה נכנסת תחתיה היתה טומאה בתוכה אין,-1
"ע""ב) תניא הכי",-1
אם נשאר עליו בשר כזית מטמא כמת,-1
לא הוה אמר תירוצא סתם דלא,-1
מונחת על הארץ,-1
שלנו וע''פ הדברים האלה פירש,-1
בפרק ר''ע הוזכר היסט משום,-1
אהל לטהר שאינו חוצץ והבא,-1
לבין המשקוף פותח טפח,-1
בפירקין דאין דרך,-1
אהל הילכך טומאה תחת,-1
טהור התנור כדתנן פ''ח דכלים בש''א הכל,-1
ר''ש וע''פ זה נפרש לדעת רבינו לענין,-1
המיעוט ואותו נקרא חלון והיינו כל הנהו,-1
על גביו וכלים תחתיו כל כלים,-1
