text,sentence_index,n_gram_id,tag
שם דטעמא משום דכשטומאה בבית הוי הבית,12,639,-1
טעמא למה אם,10,360,-1
בעלמא טמא ואין צורך לצירוף,10,415,-1
כנוגע בקרקע עולם וזה הפך ממ''ש בשמו,13,800,-1
ידו או אפשר דנגיעה היינו צירף ידו,10,511,-1
או אפשר דנגיעה היינו צירף ידו שכתב,10,512,-1
"תינוקת (דף ס""ט) ושנינו בפ''ב",1,103,-1
משנה פי''ב דאהלות נגע,8,315,0
כתב הראב''ד נגע באסקופה מטפח ולמטה,13,795,-1
"(דף מ""ג) ואיתיה",7,284,-1
מכולם המת שהוא מטמא באהל מה שאין,3,222,-1
"מינים (דף מ""ג) ואיתיה",7,291,-1
המת מטמא במגע ובמשא,0,14,-1
דלישנא דנגיעה לאו דוקא,10,383,-1
לישנא אצל צירף ידו ואפשר שכאן חזר,13,809,-1
בריש פ''ג דאהלות (משנה,5,243,0
הטומאה לצאת: כתב,13,685,-1
כקבר סתום ומטמא כל סביביו הילכך הנוגע,12,646,-1
משום דכשטומאה בבית הוי הבית כקבר סתום,12,641,-1
המת או הבא,6,252,-1
לישנא אצל צירף ידו ואפשר שכאן,13,775,-1
רבינו וכאילו יהיב טעמא,10,399,-1
מטפח ולמעלה משום,13,681,-1
דטעמא משום דכשטומאה בבית הוי הבית,12,615,-1
צירף ידו או אפשר דנגיעה היינו צירף,10,510,-1
מגע ואהל מפורשים,0,10,-1
איני יודע למה,10,322,-1
בבית הוי הבית כקבר סתום,12,592,-1
שכתב רבינו וכאילו,10,356,-1
דנגיעה היינו צירף ידו שכתב רבינו,10,475,-1
אהל אינה בשאר טומאות אלא במת,2,169,-1
ושנינו בפ''ב דאהלות דאפי' עצם,1,106,-1
"פ''ק דכלים (מ""ד) חמור מכולם המת שהוא",3,218,-1
"מינים (דף מ""ג) ואיתיה בת''כ:",7,298,-1
אפשר דנגיעה היינו צירף ידו,10,434,-1
יהושע ונראה מדברי,12,529,-1
אחד הבא כלו לאהל המת,6,265,-1
"ס""ט) ושנינו בפ''ב דאהלות דאפי' עצם",1,124,-1
דנגיעה היינו צירף ידו,10,394,-1
צירף ידו או,10,348,-1
טומאות אלא במת בלבד,2,159,-1
כתב הראב''ד נגע באסקופה,13,724,-1
טומאת שבעה וטומאת מגע,0,19,-1
דכשטומאה בבית הוי הבית כקבר סתום ומטמא,12,642,-1
שכתב רבינו וכאילו יהיב טעמא,10,439,-1
ונראה מדברי רבינו שם דטעמא משום דכשטומאה,12,636,-1
ג''ז שם במשנה וכר' יהושע ונראה,12,606,0
לאו דוקא ואינו,10,343,-1
שבעה וטומאת מגע,0,8,-1
דאהלות נגע במשקוף טמא,8,317,-1
ממ''ש בשמו בסמוך,13,663,-1
ונראה מדברי רבינו שם,12,558,-1
אהל אינה בשאר טומאות,2,156,-1
הנוגע באסקופה מטפח ולמעלה טמא,12,601,-1
וכאילו יהיב טעמא,10,358,-1
כתב הראב''ד נגע באסקופה מטפח,13,760,-1
במשנה וכר' יהושע ונראה מדברי רבינו,12,608,0
אא''כ צירף ידו או אפשר,10,430,-1
חזר בו ור''ש כתב רבי יהושע מטמא,13,815,-1
משנה טומאת אהל אינה בשאר,2,161,0
האדם או הכלי וכו',4,233,-1
משום דכשטומאה בבית,12,535,-1
צורך לצירוף יד,10,335,-1
בריש פ''ג דאהלות (משנה א'):,5,245,0
מדברי רבינו שם דטעמא משום דכשטומאה,12,612,-1
"דכלים (מ""ד) חמור מכולם",3,189,-1
שיצרף ידו שמלשון,10,326,-1
טומאת אהל אינה,2,147,-1
למה הצריך שיצרף ידו שמלשון המשנה,10,447,0
בקרקע עולם וזה,13,659,-1
ממ''ש בשמו בסמוך לחד לישנא אצל,13,771,-1
ולמעלה טמא כנוגע בכותל,12,577,-1
טמא ואין צורך לצירוף,10,375,-1
תוספתא זו מפני,15,837,-1
מטמא באסקופה מטפח,13,679,-1
תוספתא זו מפני שנותנת טעם למה,15,867,-1
"במשנה ובפרק תינוקת (דף ס""ט)",1,101,1
"ג' מינים (דף מ""ג) ואיתיה",7,297,-1
כקבר סתום ומטמא,12,540,-1
אם נגע טמא וצ''ע,10,404,-1
יודע למה הצריך,10,323,-1
ומטמא כל סביביו הילכך הנוגע באסקופה,12,623,-1
ואפשר דמשמע לרבינו דלישנא דנגיעה,10,421,-1
ולמטה טהור כנוגע,13,656,-1
טמא אא''כ צירף,10,346,-1
"ס""ט) ושנינו בפ''ב דאהלות דאפי' עצם כשעורה",1,142,-1
ובין שהאהיל האדם או,4,231,-1
הבא כלו לאהל המת או הבא מקצתו,6,279,-1
בו ור''ש כתב רבי יהושע מטמא באסקופה,13,816,-1
עולם וזה הפך ממ''ש,13,697,-1
"במשנה ובפרק תינוקת (דף ס""ט) ושנינו",1,120,0
ומ''ש ובין שהאהיל האדם או הכלי וכו',4,239,-1
אצל צירף ידו ואפשר שכאן,13,741,-1
צירף ידו שכתב רבינו וכאילו יהיב טעמא,10,516,-1
כמ''ש רבינו וטומאת,1,50,-1
סביביו הילכך הנוגע באסקופה,12,572,-1
פי''ב דאהלות נגע,8,312,-1
אלא במת בלבד,2,152,-1
"משא בפרק כ''ג ונזיר (דף נ""ו",1,113,-1
מטמא באסקופה מטפח ולמעלה משום דדרך,13,787,-1
בעלמא טמא ואין צורך,10,374,-1
ולמעלה משום דדרך הטומאה לצאת: כתב,13,790,-1
במשנה ובפרק תינוקת,1,60,0
יהושע מטמא באסקופה מטפח ולמעלה משום דדרך,13,820,-1
"(מ""ד) חמור מכולם המת שהוא מטמא",3,211,-1
מטפח ולמעלה משום דדרך,13,718,-1
ידו או אפשר דנגיעה היינו,10,432,-1
